ID;CENTER;BUILDING;FLOOR;SECTOR;IP;VLAN;HOSTNAME;PROCESSOR;MEMORYRAM;OPERATIVESYSTEM;MOTHERBOARD;PERIPHERALS;STORAGECAPACITY;STORAGETYPE;MONITORBRAND;MONITORMODEL;MONITORSIZE;INT;SOFTWAREINSTALLED;COMMENTS;BUILDINGKEY;FLOORKEY;SECTORKEY
206;Ramos Mejia;EDIFICIO CENTRAL;PRIMER PISO;PUESTO 9;NO DATA;30;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;primer-piso;puesto-9
207;Ramos Mejia;EDIFICIO CENTRAL;PRIMER PISO;PUESTO 10;NO DATA;30;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;primer-piso;puesto-10
208;Ramos Mejia;EDIFICIO CENTRAL;PRIMER PISO;PUESTO 11;NO DATA;30;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;primer-piso;puesto-11
209;Ramos Mejia;EDIFICIO CENTRAL;PRIMER PISO;PUESTO 12;NO DATA;30;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;primer-piso;puesto-12
210;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;MUCAMAS;10.0.3.174;10;MUCAMAS-JEFA;I7;8GB;Windows 10 Pro;Gigabyte H110M-H-CF;Parlantes;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Office 2016;NO COMMENT;ed-central;segundo-piso;mucamas
211;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;MUCAMAS;10.0.2.113;10;MUCAMAS 2;I3 ;4GB;Windows 10 Pro;H61M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2010;NO COMMENT;ed-central;segundo-piso;mucamas
212;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo
213;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo
214;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO;10.0.3.11;155;RESIDENTES-02;I7 ;12GB;Windows 10 Pro;H110M;LANIER MP 402;240GB ;SSD;NO DATA;NO DATA;NO DATA;NO DATA;OPEN OFFICE;NO COMMENT;ed-central;segundo-piso;segundo
215;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO C;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-c
216;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO C;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-c
217;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO C;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-c
218;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO C;10.0.3.92;155;RESIDENTES-01;I5 ;4GB;Windows 10 Pro;H61M;LANIER MP 402;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OPEN OFFICE;NO COMMENT;ed-central;segundo-piso;segundo-c
219;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO C;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-c
220;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO A;10.0.2.199;10;HOTELERIA-MARLE;I7;16GB;Windows 10 Pro;H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2016;NO COMMENT;ed-central;segundo-piso;segundo-a
221;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO A;10.0.2.158;155;INTERNO-LAB2;I7;8GB;Windows 10 Pro;H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2016;NO COMMENT;ed-central;segundo-piso;segundo-a
222;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO A;10.0.2.49;155;INITERNO-LAB3;I7;8GB;Windows 7 ;H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2010;NO COMMENT;ed-central;segundo-piso;segundo-a
223;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO A;10.0.3.90;155;INTERNO-LAB1;I7;8GB;Windows 10 Pro;H110M;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2010;NO COMMENT;ed-central;segundo-piso;segundo-a
224;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO A;10.0.3.79;155;INTERNO-LAB4;I7 ;8GB;Windows 10 Pro;H110M;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2010;NO COMMENT;ed-central;segundo-piso;segundo-a
225;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-b
226;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-b
227;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;10.0.2.77;155;UTI-01;I7;8GB;Windows 10 Pro;H110M;RICOH SP4510 DN;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2010;NO COMMENT;ed-central;segundo-piso;segundo-b
228;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;10.0.2.243;155;UTI-02;I5;4GB;Windows 10 Pro;H81M;RICOH SP4510 DN;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;OFFICE 2011;NO COMMENT;ed-central;segundo-piso;segundo-b
229;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-b
230;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo-b
231;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;10.0.2.141;10;POLI--TECNICO;I7;8GB;Windows 10 Pro;H110M;NO DATA;500GB  3 TB;HDD;NO DATA;NO DATA;NO DATA;NO DATA;2 MONITORES;NO COMMENT;ed-central;segundo-piso;segundo-b
232;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO B;NO DATA;10;POLI-HAB-02;Intel Pentium;4GB;Windows 10 Pro;OPTIN CPLANTA BAJA;NO DATA;120GB ;SSD;NO DATA;NO DATA;NO DATA;NO DATA;2 MONITORES;NO COMMENT;ed-central;segundo-piso;segundo-b
233;Ramos Mejia;EDIFICIO CENTRAL;SEGUNDO PISO;SEGUNDO;10.0.3.217;155;Sistemas-PCBack;I3;4GB;Windows 10 Pro;Gigabyte;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;segundo-piso;segundo
234;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;MATERNIDAD ATP;10.0.2.186;10;Mater-Lucia;I7;8GB;Windows 7;NO DATA;Parlantes;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;maternidad-atp
235;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;MATERNIDAD ATP;10.0.2.233;10;Mater--ATP;I5;4GB;Windows 7;NO DATA;Parlantes;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;maternidad-atp
236;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;ENDOSCOPIA;10.0.3.164;155;ENDOSCOPIA--1;I7;8GB;Windows 10 Pro;NO DATA;Parlantes;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;endoscopia
237;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;ENDOSCOPIA;10.0.2.169;155;ENDOSCOPIA-1;I7;8GB;Windows 10 Pro;NO DATA;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Escaner;NO COMMENT;ed-central;tercer-piso;endoscopia
238;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;QUIROFANO MATERNIDAD;10.0.2.215;155;Mater--Quirdepo;I7;8GB;Windows 7;NO DATA;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;Indicaciones 4;ed-central;tercer-piso;quirofano-maternidad
239;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;QUIROFANO MATERNIDAD;10.0.3.211;155;Salamed-quiromat;I7;8GB;Windows 10 Pro;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;Indicaciones4;ed-central;tercer-piso;quirofano-maternidad
240;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;HEMODINAMIA;10.0.3.210;155;Hemodinamia;I5;6GB;Windows 10 Pro;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Escaner;NO COMMENT;ed-central;tercer-piso;hemodinamia
241;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;ENFERMERIA;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;enfermeria
242;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;NEONATOLOGIA;10.0.3.195;0;MATER-ATENEO1;I7;8GB;Windows 10 Pro;Gigabyte H110M;Monitor extra;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;neonatologia
243;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;NEONATOLOGIA;10.0.2.234;0;MATER-ATENEO2;I7;8GB;Windows 10 Pro;Asustek H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Parlantes;NO COMMENT;ed-central;tercer-piso;neonatologia
244;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;NEONATOLOGIA;10.0.2.111;0;NEO-GUARDIA;I7;4GB;Windows 10 Pro;Asustek H81M;Etiquetas;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;neonatologia
245;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;MATERNIDAD;10.0.2.143;0;MAT-SUPERVISION;I3;4GB;Windows 10 Pro;Asustek H61M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Parlantes;NO COMMENT;ed-central;tercer-piso;maternidad
246;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;MATERNIDAD;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;maternidad
247;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;MATERNIDAD;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;maternidad
248;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;MATERNIDAD;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;maternidad
249;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;MATERNIDAD;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;maternidad
250;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;QUIROFANO MATERNIDAD;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;quirofano-maternidad
251;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;QUIROFANO MATERNIDAD;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;quirofano-maternidad
252;Ramos Mejia;EDIFICIO CENTRAL;TERCER PISO;ENDOSCOPIA;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;tercer-piso;endoscopia
253;Ramos Mejia;EDIFICIO CENTRAL;CUARTO PISO;MATERNIDAD;10.0.2.239;155;Mater4to;I3;4GB;Windows 10 Pro;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;cuarto-piso;maternidad
254;Ramos Mejia;EDIFICIO CENTRAL;CUARTO PISO;ENFERMERIA;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;cuarto-piso;enfermeria
255;Ramos Mejia;EDIFICIO CENTRAL;QUINTO PISO;MATERNIDAD;10.0.3.40;155;Medicos-5TO;I3;4GB;Windows 10 Pro;NO DATA;NO DATA;120GB ;SSD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;quinto-piso;maternidad
256;Ramos Mejia;EDIFICIO CENTRAL;QUINTO PISO;ENFERMERIA;NO DATA;70;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;quinto-piso;enfermeria
257;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;TESORERIA;10.0.2.128;10;TESORERIA--3;I7 ;4GB;Windows 7;GIGABYTE H81M-H;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;tesoreria
258;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;TESORERIA;10.0.3.190;10;CONTA--5;I7 ;8GB;Windows 10 Pro;ASROCK H410M-HDV/M.2;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;tesoreria
259;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;TESORERIA;10.0.3.55;10;TESORE--4;I3;4GB;Windows 7;INTEL DH61CR;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;tesoreria
260;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;CONTADURIA;10.0.2.144;10;CONTADURIA-MELANIE;I3;4GB;Windows 7;INTEL DH61WW;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;contaduria
261;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;CONTADURIA;10.0.3.6;10;CONTADURIA--CRISTINA;I7 ;16GB;Windows 10 Pro;MICRO STAR H510M A PRO;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;BTB;NO COMMENT;ed-gerencial;planta-baja;contaduria
262;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;CONTADURIA;10.0.2.92;10;CONTA-3;I7 ;4GB;Windows 7;ASUS ALL SERIES;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;contaduria
263;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.54;10;APS-PELLE;I3;4GB;Windows 7;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
264;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.161;10;FACTU-VICTORIA;I3;4GB;Windows 7;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
265;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.52;10;FACTU-MANDIA;I3;4GB;Windows 7;NO DATA;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
266;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.40;10;FACTU-8;I5;4GB;Windows 10 Pro;GIGABYTE H61M-S1;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
267;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.37;10;FACTU--13;I7 ;8GB;Windows 7;GIGABYTE H110M-H;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
268;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.72;10;FACTURACION-08;I5;4GB;Windows 7;GIGABYTE H81M-H;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
269;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.119;10;FACTURACION-02;I7 ;8GB;Windows 10 Pro;ASROCK H110M-HDV;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
270;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.245;10;FACTU-10;I7 ;8GB;Windows 10 Pro;GIGABYTE H310MH;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
271;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.247;10;FACTU--12;I5;4GB;Windows 7;GIGABYTE H81M-H;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
272;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.33;10;FACTU-07;I7 ;16GB;Windows 10 Pro;ASUS PRIME H510M-E;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
273;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.75;10;FACTU--9;I7 ;8GB;Windows 10 Pro;MICRO STAR H510M A PRO;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
274;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.35;10;FACTU--14;I5;4GB;Windows 7;GIGABYTE H81M-S1;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
275;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.184;10;FACTURACION-01;I7 ;8GB;Windows 10 Pro;GIGABYTE H110M-H;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
276;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.218;10;FACTU--4;I5;4GB;Windows 7;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
277;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.46;10;FACTURACION-05;I5;4GB;Windows 10 Pro;ASUS H81M-A;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
278;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.19;10;FACTURACION-15;I3;4GB;Windows 7;NO DATA;NO DATA;300GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
279;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.159;10;FACTU--2;I5;4GB;Windows 7;GIGABYTE H81M-H;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
280;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.66;10;FACTU-5;I5;16GB;Windows 10 Pro;GYGABYTE H510M;NO DATA;240GB ;SSD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
281;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.29;10;FACTU--19;I3;4GB;Windows 7;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
282;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.205;10;FACTU--3;I7 ;8GB;Windows 10 Pro;MS H310 PRO VHD PLUS;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
283;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.2.109;10;FACTURACION-00;I3;4GB;Windows 10 Pro;MOTHER INTEL;NO DATA;120GB ;SSD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
284;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;FACTURACION;10.0.3.131;10;FACTU-6;I7 ;8GB;Windows 10 Pro;GIGABYTE H310MH;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;facturacion
285;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;DEBITOS;10.0.2.94;10;DEBITOS-01;I7 ;8GB;Windows 10 Pro;MS H510 M-A PRO;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;debitos
286;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;DEBITOS;10.0.2.93;10;DEBITOS--2;I3;4GB;Windows 7;GIGABYTE;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;debitos
287;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;DEBITOS;10.0.3.117;10;DEBITOS--1;I3;4GB;Windows 7;INTEL DH55TS;NO DATA;300GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;debitos
288;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;DEBITOS;10.0.3.44;10;DEBITOS-03;I7 ;8GB;Windows 10 Pro;GIGABYTE H110M-H-CF;NO DATA;240GB ;SSD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;debitos
289;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;AUDITORIA MEDICA;10.0.2.71;10;DEBITOS-AUD;I7 ;8GB;Windows 10 Pro;MS H310 PRO VHD PLUS;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;auditoria-medica
290;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;LEGALES;10.0.2.107;10;LEGALES--GLADYS;I3;4GB;Windows 7;NO DATA;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;legales
291;Ramos Mejia;EDIFICIO GERENCIAL;PLANTA BAJA;LEGALES;10.0.2.252;10;LEGALES-2;I7 ;8GB;Windows 10 Pro;GIGABYTE H110M-H-CF;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-gerencial;planta-baja;legales
